,Learning Rate,Epoch,Mean AUC,Weight Decay,%Acc
0,0.01,0.0,0.9618181818181817,1.0,0.6635514018691588
1,0.01,1.0,0.9228194993412386,1.0,0.0
2,0.01,2.0,0.9610606060606061,1.0,0.6635514018691588
3,0.01,3.0,0.9661923583662713,1.0,0.6635514018691588
4,0.01,4.0,0.9271739130434782,1.0,0.6635514018691588
5,0.01,5.0,0.9563636363636364,1.0,0.6635514018691588
6,0.01,6.0,0.9596969696969697,1.0,0.6635514018691588
7,0.01,7.0,0.965,1.0,0.6635514018691588
8,0.01,8.0,0.9345454545454546,1.0,0.6635514018691588
9,0.01,9.0,0.9593939393939394,1.0,0.6635514018691588
10,0.01,0.0,0.9542424242424242,0.01,0.6635514018691588
11,0.01,1.0,0.9659552042160737,0.01,0.6635514018691588
12,0.01,2.0,0.9613636363636363,0.01,0.6635514018691588
13,0.01,3.0,0.9678787878787878,0.01,0.6635514018691588
14,0.01,4.0,0.9507773386034256,0.01,0.6635514018691588
15,0.01,5.0,0.9413636363636364,0.01,0.6635514018691588
16,0.01,6.0,0.9781818181818182,0.01,0.6635514018691588
17,0.01,7.0,0.9571212121212122,0.01,0.6635514018691588
18,0.01,8.0,0.9595454545454545,0.01,0.6635514018691588
19,0.01,9.0,0.9628985507246377,0.01,0.6635514018691588
20,0.01,0.0,0.9739393939393941,0.0001,0.6635514018691588
21,0.01,1.0,0.9824242424242425,0.0001,0.6635514018691588
22,0.01,2.0,0.951060606060606,0.0001,0.6635514018691588
23,0.01,3.0,0.9725955204216074,0.0001,0.6635514018691588
24,0.01,4.0,0.976969696969697,0.0001,0.6635514018691588
25,0.01,5.0,0.9509288537549407,0.0001,0.6635514018691588
26,0.01,6.0,0.9812121212121212,0.0001,0.6635514018691588
27,0.01,7.0,0.9326943346508564,0.0001,0.6635514018691588
28,0.01,8.0,0.9690909090909091,0.0001,0.6635514018691588
29,0.01,9.0,0.9721212121212122,0.0001,0.6635514018691588
30,0.001,0.0,0.9509090909090909,1.0,0.6635514018691588
31,0.001,1.0,0.9678787878787878,1.0,0.6635514018691588
32,0.001,2.0,0.9668181818181819,1.0,0.6635514018691588
33,0.001,3.0,0.9684848484848484,1.0,0.6635514018691588
34,0.001,4.0,0.9643939393939394,1.0,0.6635514018691588
35,0.001,5.0,0.9534848484848485,1.0,0.6635514018691588
36,0.001,6.0,0.9530895915678524,1.0,0.6635514018691588
37,0.001,7.0,0.9607575757575758,1.0,0.6635514018691588
38,0.001,8.0,0.9654545454545453,1.0,0.6635514018691588
39,0.001,9.0,0.9625559947299077,1.0,0.6635514018691588
40,0.001,0.0,0.9507773386034255,0.01,0.6635514018691588
41,0.001,1.0,0.929038208168643,0.01,0.6635514018691588
42,0.001,2.0,0.9648484848484848,0.01,0.6635514018691588
43,0.001,3.0,0.9696969696969697,0.01,0.6635514018691588
44,0.001,4.0,0.9532015810276679,0.01,0.6635514018691588
45,0.001,5.0,0.9628458498023715,0.01,0.6635514018691588
46,0.001,6.0,0.9751515151515151,0.01,0.6635514018691588
47,0.001,7.0,0.960151515151515,0.01,0.6635514018691588
48,0.001,8.0,0.9662121212121213,0.01,0.6635514018691588
49,0.001,9.0,0.9672727272727273,0.01,0.6635514018691588
50,0.001,0.0,0.9630500658761528,0.0001,0.6635514018691588
51,0.001,1.0,0.9424242424242425,0.0001,0.6635514018691588
52,0.001,2.0,0.9466139657444005,0.0001,0.6635514018691588
53,0.001,3.0,0.9408893280632411,0.0001,0.6635514018691588
54,0.001,4.0,0.970171277997365,0.0001,0.6635514018691588
55,0.001,5.0,0.967878787878788,0.0001,0.6635514018691588
56,0.001,6.0,0.9480303030303031,0.0001,0.6635514018691588
57,0.001,7.0,0.9613636363636363,0.0001,0.6635514018691588
58,0.001,8.0,0.9581291172595521,0.0001,0.6635514018691588
59,0.001,9.0,0.9668181818181819,0.0001,0.6635514018691588
60,0.0001,0.0,0.9695652173913044,1.0,0.6635514018691588
61,0.0001,1.0,0.9443939393939393,1.0,0.6635514018691588
62,0.0001,2.0,0.9643939393939394,1.0,0.6635514018691588
63,0.0001,3.0,0.9443741765480895,1.0,0.6635514018691588
64,0.0001,4.0,0.9684848484848484,1.0,0.6635514018691588
65,0.0001,5.0,0.9696969696969697,1.0,0.6635514018691588
66,0.0001,6.0,0.969828722002635,1.0,0.6635514018691588
67,0.0001,7.0,0.9630303030303031,1.0,0.6635514018691588
68,0.0001,8.0,0.9739393939393939,1.0,0.6635514018691588
69,0.0001,9.0,0.9680105401844531,1.0,0.6635514018691588
70,0.0001,0.0,0.976969696969697,0.01,0.6635514018691588
71,0.0001,1.0,0.9830303030303031,0.01,0.6635514018691588
72,0.0001,2.0,0.9666666666666666,0.01,0.6635514018691588
73,0.0001,3.0,0.9601515151515152,0.01,0.6635514018691588
74,0.0001,4.0,0.9609090909090909,0.01,0.6635514018691588
75,0.0001,5.0,0.9709090909090909,0.01,0.6635514018691588
76,0.0001,6.0,0.9783135704874836,0.01,0.6635514018691588
77,0.0001,7.0,0.9727272727272728,0.01,0.6635514018691588
78,0.0001,8.0,0.9860606060606061,0.01,0.6635514018691588
79,0.0001,9.0,0.9849802371541502,0.01,0.6635514018691588
80,0.0001,0.0,0.9643939393939394,0.0001,0.6635514018691588
81,0.0001,1.0,0.9715151515151516,0.0001,0.6635514018691588
