,Learning Rate,Epoch,Mean AUC,Weight Decay,%Acc
0,0.01,0.0,0.9787878787878789,1.0,0.6635514018691588
1,0.01,1.0,0.9703030303030303,1.0,0.6635514018691588
2,0.01,2.0,0.9712121212121211,1.0,0.6635514018691588
3,0.01,3.0,0.9672727272727273,1.0,0.6635514018691588
4,0.01,4.0,0.9642424242424242,1.0,0.6635514018691588
5,0.01,0.0,0.9649802371541503,0.01,0.6635514018691588
6,0.01,1.0,0.9433530961791832,0.01,0.6635514018691588
7,0.01,2.0,0.9619696969696969,0.01,0.6635514018691588
8,0.01,3.0,0.9824242424242425,0.01,0.6635514018691588
9,0.01,4.0,0.9648484848484848,0.01,0.6635514018691588
10,0.01,0.0,0.9710606060606061,0.0001,0.6635514018691588
11,0.01,1.0,0.9565151515151515,0.0001,0.6635514018691588
12,0.01,2.0,0.9579380764163372,0.0001,0.6635514018691588
13,0.01,3.0,0.9836363636363636,0.0001,0.6635514018691588
14,0.01,4.0,0.9586561264822134,0.0001,0.6635514018691588
15,0.001,0.0,0.9684848484848484,1.0,0.6635514018691588
16,0.001,1.0,0.9618181818181819,1.0,0.6635514018691588
17,0.001,2.0,0.9643741765480895,1.0,0.6635514018691588
18,0.001,3.0,0.9669499341238472,1.0,0.6635514018691588
19,0.001,4.0,0.9566469038208169,1.0,0.6635514018691588
20,0.001,0.0,0.9668181818181819,0.01,0.6635514018691588
21,0.001,1.0,0.975909090909091,0.01,0.6635514018691588
22,0.001,2.0,0.9527272727272728,0.01,0.6635514018691588
23,0.001,3.0,0.9806060606060608,0.01,0.6635514018691588
24,0.001,4.0,0.9522200263504611,0.01,0.6635514018691588
25,0.001,0.0,0.9534848484848486,0.0001,0.6635514018691588
26,0.001,1.0,0.9781818181818183,0.0001,0.6635514018691588
27,0.001,2.0,0.9583926218708828,0.0001,0.6635514018691588
28,0.001,3.0,0.9686363636363636,0.0001,0.6635514018691588
29,0.001,4.0,0.9642424242424242,0.0001,0.6635514018691588
30,0.0001,0.0,0.9666139657444005,1.0,0.6635514018691588
31,0.0001,1.0,0.9575230566534914,1.0,0.6635514018691588
32,0.0001,2.0,0.9472727272727274,1.0,0.6635514018691588
33,0.0001,3.0,0.9557575757575758,1.0,0.6635514018691588
34,0.0001,4.0,0.9696969696969697,1.0,0.6635514018691588
35,0.0001,0.0,0.9546969696969697,0.01,0.6635514018691588
36,0.0001,1.0,0.9763109354413703,0.01,0.6635514018691588
37,0.0001,2.0,0.9449472990777338,0.01,0.6635514018691588
38,0.0001,3.0,0.9443939393939393,0.01,0.6635514018691588
39,0.0001,4.0,0.9352503293807642,0.01,0.6635514018691588
40,0.0001,0.0,0.9587351778656127,0.0001,0.6635514018691588
41,0.0001,1.0,0.9703030303030303,0.0001,0.6635514018691588
42,0.0001,2.0,0.9544927536231884,0.0001,0.6635514018691588
43,0.0001,3.0,0.9593939393939394,0.0001,0.6635514018691588
44,0.0001,4.0,0.9423715415019762,0.0001,0.6635514018691588
45,1e-05,0.0,0.9660606060606061,1.0,0.6635514018691588
46,1e-05,1.0,0.9830303030303029,1.0,0.6635514018691588
47,1e-05,2.0,0.9921212121212122,1.0,0.6635514018691588
48,1e-05,3.0,0.9532806324110672,1.0,0.6635514018691588
49,1e-05,4.0,0.9854545454545455,1.0,0.6635514018691588
50,1e-05,0.0,0.9333333333333332,0.01,0.6635514018691588
51,1e-05,1.0,0.9599472990777338,0.01,0.6635514018691588
52,1e-05,2.0,0.9369169960474308,0.01,0.6635514018691588
53,1e-05,3.0,0.9484321475625823,0.01,0.6635514018691588
54,1e-05,4.0,0.9443939393939393,0.01,0.6635514018691588
55,1e-05,0.0,0.9690909090909091,0.0001,0.6635514018691588
56,1e-05,1.0,0.9715151515151516,0.0001,0.6635514018691588
57,1e-05,2.0,0.9666666666666666,0.0001,0.6635514018691588
58,1e-05,3.0,0.9854545454545455,0.0001,0.6635514018691588
59,1e-05,4.0,0.9836363636363636,0.0001,0.6635514018691588
