,Learning Rate,Epoch,Mean AUC,Weight Decay,%Acc
0,0.01,0.0,0.9642424242424242,1.0,0.6635514018691588
1,0.01,1.0,0.9446969696969697,1.0,0.6635514018691588
2,0.01,2.0,0.9381818181818181,1.0,0.6635514018691588
3,0.01,3.0,0.892094861660079,1.0,0.6635514018691588
4,0.01,4.0,0.8800065876152833,1.0,0.6635514018691588
5,0.01,5.0,0.9563636363636363,1.0,0.6635514018691588
6,0.01,6.0,0.9204743083003953,1.0,0.6635514018691588
7,0.01,7.0,0.9465678524374177,1.0,0.6635514018691588
8,0.01,8.0,0.9606060606060606,1.0,0.09345794392523364
9,0.01,9.0,0.9818181818181819,1.0,0.6635514018691588
10,0.01,0.0,0.9042424242424242,0.01,0.6635514018691588
11,0.01,1.0,0.9300922266139656,0.01,0.6635514018691588
12,0.01,2.0,0.8886363636363636,0.01,0.0
13,0.01,3.0,0.9707575757575758,0.01,0.6635514018691588
14,0.01,4.0,0.9463768115942028,0.01,0.6635514018691588
15,0.01,5.0,0.9624242424242425,0.01,0.6635514018691588
16,0.01,6.0,0.908030303030303,0.01,0.6635514018691588
17,0.01,7.0,0.9757575757575756,0.01,0.6635514018691588
18,0.01,8.0,0.9427272727272729,0.01,0.6635514018691588
19,0.01,9.0,0.9643939393939394,0.01,0.0
20,0.01,0.0,0.9669038208168643,0.0001,0.6542056074766355
21,0.01,1.0,0.9486166007905139,0.0001,0.6635514018691588
22,0.01,2.0,0.9742292490118578,0.0001,0.6635514018691588
23,0.01,3.0,0.9566666666666666,0.0001,0.6635514018691588
24,0.01,4.0,0.9712121212121212,0.0001,0.6635514018691588
25,0.01,5.0,0.9301515151515151,0.0001,0.6635514018691588
26,0.01,6.0,0.9593939393939394,0.0001,0.6635514018691588
27,0.01,7.0,0.936969696969697,0.0001,0.6635514018691588
28,0.01,8.0,0.9472727272727272,0.0001,0.6635514018691588
29,0.01,9.0,0.9775757575757575,0.0001,0.6635514018691588
30,0.001,0.0,0.9715151515151516,1.0,0.6635514018691588
31,0.001,1.0,0.9292226613965744,1.0,0.6635514018691588
32,0.001,2.0,0.9171277997364953,1.0,0.6635514018691588
33,0.001,3.0,0.9372727272727271,1.0,0.6635514018691588
34,0.001,4.0,0.9369696969696969,1.0,0.6635514018691588
35,0.001,5.0,0.9417918313570488,1.0,0.6635514018691588
36,0.001,6.0,0.9392424242424242,1.0,0.6635514018691588
37,0.001,7.0,0.9376021080368908,1.0,0.6635514018691588
38,0.001,8.0,0.952121212121212,1.0,0.6635514018691588
39,0.001,9.0,0.9618181818181819,1.0,0.6635514018691588
40,0.001,0.0,0.9545454545454546,0.01,0.09345794392523364
41,0.001,1.0,0.9392687747035573,0.01,0.6635514018691588
42,0.001,2.0,0.9666666666666666,0.01,0.6635514018691588
43,0.001,3.0,0.9854545454545455,0.01,0.0
44,0.001,4.0,0.9448484848484848,0.01,0.6635514018691588
45,0.001,5.0,0.9528787878787878,0.01,0.6635514018691588
46,0.001,6.0,0.9684848484848484,0.01,0.6635514018691588
47,0.001,7.0,0.9751515151515151,0.01,0.0
48,0.001,8.0,0.9327009222661397,0.01,0.6635514018691588
49,0.001,9.0,0.9484848484848485,0.01,0.6635514018691588
50,0.001,0.0,0.9632411067193675,0.0001,0.6635514018691588
51,0.001,1.0,0.966798418972332,0.0001,0.0
52,0.001,2.0,0.9693017127799738,0.0001,0.6635514018691588
53,0.001,3.0,0.9739393939393939,0.0001,0.6635514018691588
54,0.001,4.0,0.9568379446640316,0.0001,0.6635514018691588
55,0.001,5.0,0.97467720685112,0.0001,0.6635514018691588
56,0.001,6.0,0.9824242424242425,0.0001,0.6635514018691588
