,Learning Rate,Epoch,Mean AUC,Weight Decay,%Acc
0,0.01,0.0,0.9521212121212121,1.0,0.0
1,0.01,1.0,0.8874242424242424,1.0,0.6635514018691588
2,0.01,2.0,0.9101515151515152,1.0,0.6635514018691588
3,0.01,3.0,0.9415217391304347,1.0,0.0
4,0.01,4.0,0.947878787878788,1.0,0.09345794392523364
5,0.01,5.0,0.9769696969696969,1.0,0.6635514018691588
6,0.01,6.0,0.967536231884058,1.0,0.6635514018691588
7,0.01,7.0,0.847121212121212,1.0,0.0
8,0.01,8.0,0.9769696969696969,1.0,0.0
9,0.01,9.0,0.9403030303030304,1.0,0.6635514018691588
10,0.01,0.0,0.9751515151515151,0.01,0.09345794392523364
11,0.01,1.0,0.9612121212121213,0.01,0.09345794392523364
12,0.01,2.0,0.968247694334651,0.01,0.0
13,0.01,3.0,0.9508036890645586,0.01,0.6635514018691588
14,0.01,4.0,0.9793939393939394,0.01,0.6635514018691588
15,0.01,5.0,0.9466666666666665,0.01,0.6635514018691588
16,0.01,6.0,0.9465349143610013,0.01,0.6635514018691588
17,0.01,7.0,0.9696969696969697,0.01,0.6635514018691588
18,0.01,8.0,0.982635046113307,0.01,0.0
19,0.01,9.0,0.9563636363636364,0.01,0.6635514018691588
20,0.01,0.0,0.98,0.0001,0.6635514018691588
21,0.01,1.0,0.9613636363636364,0.0001,0.6635514018691588
22,0.01,2.0,0.9631818181818183,0.0001,0.6635514018691588
23,0.01,3.0,0.9336758893280631,0.0001,0.6635514018691588
24,0.01,4.0,0.9824242424242425,0.0001,0.6635514018691588
25,0.01,5.0,0.9575757575757576,0.0001,0.6635514018691588
26,0.01,6.0,0.9878787878787878,0.0001,0.6635514018691588
27,0.01,7.0,0.9625757575757575,0.0001,0.6635514018691588
28,0.01,8.0,0.9601515151515153,0.0001,0.6635514018691588
29,0.01,9.0,0.9565151515151515,0.0001,0.6635514018691588
30,0.001,0.0,0.9830303030303031,1.0,0.6635514018691588
31,0.001,1.0,0.9687747035573122,1.0,0.6635514018691588
32,0.001,2.0,0.9463504611330699,1.0,0.6635514018691588
33,0.001,3.0,0.9684848484848484,1.0,0.6635514018691588
34,0.001,4.0,0.9546969696969697,1.0,0.6635514018691588
35,0.001,5.0,0.9249472990777339,1.0,0.6635514018691588
